pais,estado_provincia,continente
Colombia,Emberá,SOUTH_AMERICA
Ecuador,Manabi,SOUTH_AMERICA
Venezuela (Bolivarian Republic of),Dependencias Federales,
Gambia,Ziguinchor,AFRICA
Suriname,Saint-Laurent-du-Maroni,SOUTH_AMERICA
Peru,Pasco,SOUTH_AMERICA
unknown or invalid,Vichada,SOUTH_AMERICA
Argentina,Rio Negro,
Guyana,Essequibo Islands-West Demerara,SOUTH_AMERICA
Puerto Rico,Río Grande,NORTH_AMERICA
Dominican Republic,Pedernales,NORTH_AMERICA
Ecuador,Azuay,SOUTH_AMERICA
Uruguay,Rio Grande do Sul,SOUTH_AMERICA
New Zealand,Auckland,OCEANIA
Peru,Lambayeque,SOUTH_AMERICA
Peru,,
Portugal,Faro,EUROPE
Ecuador,Santa Elena,SOUTH_AMERICA
Chinese Taipei,New Taipei,ASIA
Chile,Arica y Parinacota,SOUTH_AMERICA
Japan,Mie,ASIA
"Korea, Republic of",Gyeongsangnam-do,
Spain,,AFRICA
France,,
Malaysia,Sarawak,ASIA
New Zealand,Taranaki,OCEANIA
"Korea, Republic of",,
Morocco,Marrakech - Tensift - Al Haouz,AFRICA
Puerto Rico,Puerto Rico,
Puerto Rico,Puerto Rico,NORTH_AMERICA
Dominican Republic,Puerto Plata,NORTH_AMERICA
Puerto Rico,San Juan,
Paraguay,Mato Grosso do Sul,SOUTH_AMERICA
Cuba,,NORTH_AMERICA
Bahamas,,NORTH_AMERICA
United States of America,Kansas,NORTH_AMERICA
Trinidad and Tobago,Siparia,SOUTH_AMERICA
United States of America,Louisiana,
Honduras,,
Angola,,AFRICA
unknown or invalid,,NORTH_AMERICA
United States of America,Georgia,
Peru,Junín,SOUTH_AMERICA
Peru,Huánuco,SOUTH_AMERICA
Guyana,Roraima,SOUTH_AMERICA
Liberia,,
Paraguay,San Pedro,SOUTH_AMERICA
Brazil,Maranhao,
Iceland,Bahia,SOUTH_AMERICA
United Kingdom of Great Britain and Northern Ireland,Wales,EUROPE
Norway,Rogaland,EUROPE
Denmark,Sjælland,EUROPE
Denmark,Midtjylland,EUROPE
Sweden,Gotland,EUROPE
Bulgaria,Burgas,EUROPE
Namibia,Namibia,AFRICA
Namibia,Erongo,AFRICA
New Zealand,Tasman,OCEANIA
Russian Federation,Krasnodar,ASIA
Chinese Taipei,Tainan,ASIA
Netherlands,Zuid Hollandse Meren,EUROPE
Portugal,Leiria,EUROPE
United Kingdom of Great Britain and Northern Ireland,Scotland,EUROPE
Ireland,Sligo,EUROPE
Netherlands,Zeeland,EUROPE
Paraguay,Caazapá,SOUTH_AMERICA
India,Andhra Pradesh,ASIA
Myanmar,Ayeyarwady,ASIA
Australia,Northern Territory,OCEANIA
Fiji,Central,OCEANIA
Thailand,Chanthaburi,ASIA
Japan,Okinawa,
Bangladesh,Chittagong,ASIA
Brazil,Ceará,
Guadeloupe,,NORTH_AMERICA
South Africa,Northern Cape,AFRICA
Puerto Rico,Cabo Rojo,NORTH_AMERICA
Uruguay,Maldonado,
Aruba,Aruba,NORTH_AMERICA
Mexico,Yucatan (YU),NORTH_AMERICA
Puerto Rico,Cataño,NORTH_AMERICA
Puerto Rico,Mayagüez,NORTH_AMERICA
Dominican Republic,Azua,NORTH_AMERICA
Peru,,SOUTH_AMERICA
Ireland,Wicklow,EUROPE
India,Maharashtra,ASIA
Sweden,Norrbotten,EUROPE
Italy,Calabria,EUROPE
Finland,Western Finland,EUROPE
Sweden,Västmanland,EUROPE
Germany,Nordrhein-Westfalen,EUROPE
Germany,Baden-Württemberg,EUROPE
Finland,Southern Finland,EUROPE
Finland,Oulu,EUROPE
Finland,Varsinais-Suomi,EUROPE
Mexico,Michoacán,NORTH_AMERICA
Uruguay,Soriano,SOUTH_AMERICA
Mexico,México,NORTH_AMERICA
Honduras,Francisco Morazán,NORTH_AMERICA
Greece,Crete,EUROPE
United Kingdom of Great Britain and Northern Ireland,,
Norway,Møre og Romsdal,EUROPE
Italy,,EUROPE
France,,EUROPE
Norway,Nordland,EUROPE
Italy,,
Denmark,,
Sweden,Skåne,EUROPE
Australia,Nsw,
Australia,New South Wales,
Brazil,Paraíba,
Mexico,Sinaloa,
Peru,Ica,SOUTH_AMERICA
Brazil,Rio De Janeiro,SOUTH_AMERICA
South Africa,Eastern Cape,
"Korea, Republic of",Seoul,ASIA
Dominican Republic,Barahona,NORTH_AMERICA
Suriname,Para,SOUTH_AMERICA
Colombia,Huila,SOUTH_AMERICA
Nigeria,Akwa Ibom,AFRICA
Nigeria,Rivers,AFRICA
Nigeria,Delta,AFRICA
Germany,Berlin,EUROPE
Argentina,Chubut,
Puerto Rico,Ceiba,NORTH_AMERICA
Turks and Caicos Islands,North Caicos,NORTH_AMERICA
Nicaragua,Atlántico Sur,
Timor-Leste,Lautém,ASIA
French Polynesia,Îles Tuamotu-Gambier,OCEANIA
Fiji,Western,
French Polynesia,Îles Tuamotu-Gambier,
Thailand,Phrae,ASIA
India,Kerala,ASIA
Sri Lanka,Matara,ASIA
Madagascar,Toamasina,AFRICA
Thailand,Chiang Mai,ASIA
Senegal,Saint-Louis,AFRICA
Madagascar,Fianarantsoa,AFRICA
Botswana,North-West,AFRICA
Madagascar,Antananarivo,AFRICA
Gambia,North Bank,AFRICA
India,Karnataka,ASIA
Thailand,Kanchanaburi,ASIA
Zimbabwe,Matabeleland South,AFRICA
Ghana,Savannah,AFRICA
India,Madhya Pradesh,ASIA
United States of America,New Mexico,NORTH_AMERICA
Ecuador,Guayas,SOUTH_AMERICA
New Caledonia,,
Fiji,Northern,OCEANIA
New Zealand,Wellington,OCEANIA
New Zealand,West Coast,
New Zealand,Manawatu-Wanganui,OCEANIA
United States of America,California,
New Zealand,West Coast,OCEANIA
United States of America,Washington,NORTH_AMERICA
Sweden,Bohuslän,EUROPE
New Zealand,Auckland,
New Zealand,Hawke's Bay,OCEANIA
Chile,Atacama,SOUTH_AMERICA
France,Basse-Normandie,EUROPE
Venezuela (Bolivarian Republic of),Sucre,SOUTH_AMERICA
Argentina,La Rioja,SOUTH_AMERICA
Uruguay,Durazno,SOUTH_AMERICA
Argentina,Entre Rios,SOUTH_AMERICA
Brazil,Rs,
Thailand,Krabi,ASIA
Chinese Taipei,Taipei,ASIA
Puerto Rico,Cidra,NORTH_AMERICA
Chinese Taipei,Taiwan,ASIA
Portugal,Aveiro,EUROPE
Sri Lanka,Anuradhapura,ASIA
Thailand,Nakhon Pathom,ASIA
Thailand,Bangkok Metropolis,ASIA
Hong Kong,Kowloon City,ASIA
Thailand,Nakhon Si Thammarat,ASIA
India,Punjab,ASIA
Thailand,Chon Buri,ASIA
Thailand,Prachuap Khiri Khan,ASIA
Lao People’s Democratic Republic,Bolikhamxai,ASIA
United Arab Emirates,Abu Dhabi,ASIA
Thailand,Chaiyaphum,ASIA
Thailand,Chiang Rai,ASIA
Thailand,Samut Prakan,ASIA
Thailand,Pathum Thani,ASIA
Thailand,Pattani,ASIA
India,Chandigarh,ASIA
Thailand,Nonthaburi,ASIA
Thailand,Nakhon Sawan,ASIA
Singapore,North-East,ASIA
United Arab Emirates,Dubay,ASIA
Brazil,Bahia,ANTARCTICA
Paraguay,Guairá,SOUTH_AMERICA
Brazil,Río Grande do Sul,SOUTH_AMERICA
Peru,Amazonas,SOUTH_AMERICA
Brazil,Santiago del Estero,SOUTH_AMERICA
Philippines,Southern Leyte,ASIA
Philippines,Cebu,ASIA
Thailand,Surat Thani,
Thailand,,
Philippines,Sorsogon,ASIA
Indonesia,Nusa Tenggara Barat,ASIA
Panama,Veraquas,NORTH_AMERICA
Philippines,Cebu,
"Tanzania, United Republic of",Zanzibar South and Central,AFRICA
Seychelles,La Digue and Inner Islands,
Indonesia,Sulawesi Utara,ASIA
Bolivia (Plurinational State of),Cochabamba,SOUTH_AMERICA
French Guiana,Sipaliwini,SOUTH_AMERICA
Ecuador,Loja,SOUTH_AMERICA
Bolivia (Plurinational State of),El Beni,SOUTH_AMERICA
Suriname,Amapá,SOUTH_AMERICA
French Guiana,Cayenne,
Venezuela (Bolivarian Republic of),Distrito Capital,SOUTH_AMERICA
Dominican Republic,,NORTH_AMERICA
United States of America,Alabama,
Jamaica,,NORTH_AMERICA
Israel,West Bank,ASIA
Mexico,Veracruz de ignacio de la llave,NORTH_AMERICA
Brazil,Parana,SOUTH_AMERICA
Belize,,NORTH_AMERICA
Belize,,
French Guiana,Guyane française,
Brazil,Paraná,
Albania,Vlorë,EUROPE
China,Zhejiang,ASIA
Morocco,Tanger - Tétouan,AFRICA
New Zealand,Wellington,
Albania,Fier,EUROPE
Italy,Liguria,EUROPE
Croatia,,
Croatia,Dubrovacko-Neretvanska,EUROPE
Chile,Maule,SOUTH_AMERICA
New Zealand,Nelson,OCEANIA
Chile,Araucanía,
Nicaragua,Carazo,NORTH_AMERICA
Chile,Tarapacá,SOUTH_AMERICA
United States of America,Rhode Island,
United States of America,Maine,NORTH_AMERICA
Brazil,Espirito Santo,SOUTH_AMERICA
Puerto Rico,Arroyo,NORTH_AMERICA
Peru,Lima Province,SOUTH_AMERICA
Peru,Lima,SOUTH_AMERICA
Saint Lucia,Dennery,NORTH_AMERICA
Suriname,Nickerie,SOUTH_AMERICA
United States of America,Nebraska,NORTH_AMERICA
United States of America,Minnesota,NORTH_AMERICA
Germany,Bayern,EUROPE
Belize,Corozal,
Puerto Rico,Guánica,
Bahamas,Biminis,
Paraguay,Amambay,SOUTH_AMERICA
Bolivia (Plurinational State of),Santa cruz,SOUTH_AMERICA
Argentina,Tucumán,SOUTH_AMERICA
"Saint Helena, Ascension and Tristan da Cunha",Saint Helena,AFRICA
Cabo Verde,Porto Novo,AFRICA
Ecuador,Galápagos NP,SOUTH_AMERICA
Saint Lucia,Vieux Fort,NORTH_AMERICA
Montserrat,Saint Peter,NORTH_AMERICA
Montserrat,Saint Anthon,NORTH_AMERICA
El Salvador,Sonsonate,NORTH_AMERICA
Saudi Arabia,Makkah,
Sri Lanka,Matale,ASIA
Saudi Arabia,,ASIA
Sri Lanka,Puttalam,ASIA
Sri Lanka,Gampaha,ASIA
Bermuda,,
Palau,Peleliu,
United States Minor Outlying Islands,Palmyra,
China,Guangdong,
Albania,,
United States of America,Maryland,
Guyana,Sipaliwini,SOUTH_AMERICA
Bolivia (Plurinational State of),Tarija,SOUTH_AMERICA
Indonesia,Jawa Timur,ASIA
Japan,Shizuoka,ASIA
Chinese Taipei,,
Indonesia,Papua,OCEANIA
United States Minor Outlying Islands,Palmyra,OCEANIA
Philippines,Oriental Mindoro,ASIA
Wallis and Futuna,Alo,OCEANIA
Seychelles,Grand'Anse Praslin,AFRICA
Indonesia,Aceh,ASIA
Jamaica,Westmoreland,NORTH_AMERICA
Cabo Verde,Sal,AFRICA
Sri Lanka,Trincomalee,ASIA
Seychelles,Mont Fleuri,AFRICA
Timor-Leste,Atauro Municipality,ASIA
Thailand,Phuket,ASIA
Guam,Santa Rita,OCEANIA
French Polynesia,Îles Marquises,OCEANIA
Guam,Guam,OCEANIA
Kenya,Kwale,AFRICA
Seychelles,Belombre,AFRICA
Mozambique,,AFRICA
Puerto Rico,Vega Alta,NORTH_AMERICA
Trinidad and Tobago,Princes Town,SOUTH_AMERICA
Trinidad and Tobago,Penal-Debe,SOUTH_AMERICA
Trinidad and Tobago,San Fernando,SOUTH_AMERICA
Trinidad and Tobago,Tunapuna/Piarco,NORTH_AMERICA
Venezuela (Bolivarian Republic of),Miranda,SOUTH_AMERICA
Trinidad and Tobago,,NORTH_AMERICA
Trinidad and Tobago,Tobago,NORTH_AMERICA
Saint Vincent and the Grenadines,,NORTH_AMERICA
Trinidad and Tobago,Siparia,NORTH_AMERICA
Trinidad and Tobago,Tobago,
Venezuela (Bolivarian Republic of),Bolívar,SOUTH_AMERICA
Venezuela (Bolivarian Republic of),Apure,SOUTH_AMERICA
Venezuela (Bolivarian Republic of),Guárico,SOUTH_AMERICA
Mauritius,Black River,AFRICA
Mauritius,Mauritius,
"Saint Helena, Ascension and Tristan da Cunha",Tristan da Cunha,
unknown or invalid,High Seas,
"Saint Helena, Ascension and Tristan da Cunha",Ascension,
United States of America,North Carolina (NC),
Mauritius,Savanne,AFRICA
Guatemala,Suchitepéquez,NORTH_AMERICA
Guatemala,Chimaltenango,NORTH_AMERICA
Mexico,Morelos,NORTH_AMERICA
Belize,Orange Walk,NORTH_AMERICA
Guatemala,Sacatepéquez,NORTH_AMERICA
Mexico,Puebla,NORTH_AMERICA
Honduras,Ocotepeque,NORTH_AMERICA
Mexico,Tabasco,NORTH_AMERICA
United States of America,Oklahoma,NORTH_AMERICA
Sweden,Halland,EUROPE
Canada,Saskatchewan,NORTH_AMERICA
Guatemala,Escuintla,NORTH_AMERICA
United States of America,Alaska,NORTH_AMERICA
Canada,Yukon,NORTH_AMERICA
Canada,Manitoba,NORTH_AMERICA
Peru,Piura,SOUTH_AMERICA
Chile,Bío-Bío,SOUTH_AMERICA
Peru,Callao,SOUTH_AMERICA
Australia,Jervis Bay Territory,OCEANIA
United States of America,Connecticut,NORTH_AMERICA
Colombia,Quindío,SOUTH_AMERICA
El Salvador,Santa Ana,NORTH_AMERICA
Mexico,San Luis Potosí,NORTH_AMERICA
Nicaragua,Masaya,NORTH_AMERICA
Honduras,Copán,NORTH_AMERICA
Chile,Antofagasta,SOUTH_AMERICA
New Zealand,Marlborough,OCEANIA
Canada,New Brunswick,NORTH_AMERICA
Montenegro,Budva,EUROPE
Japan,Kanagawa,ASIA
Greece,Thessaly and Central Greece,EUROPE
Albania,Fier,
Montenegro,Cetinje,EUROPE
Nicaragua,Atlántico Norte,
Israel,HaMerkaz,ASIA
France,Nouvelle-Aquitaine,EUROPE
Spain,Galicia,EUROPE
Portugal,Coimbra,EUROPE
Portugal,Porto,EUROPE
Portugal,Braga,EUROPE
France,Pays de la Loire,EUROPE
United Kingdom of Great Britain and Northern Ireland,Northern Ireland,EUROPE
Croatia,Zadarska,EUROPE
Greece,Aegean,EUROPE
Portugal,Setúbal,EUROPE
Spain,Principado de Asturias,EUROPE
Algeria,Béjaïa,AFRICA
Portugal,Lisboa,EUROPE
Türkiye,Mugla,ASIA
Mozambique,Inhambane,AFRICA
Timor-Leste,Manatuto,ASIA
France,Provence-Alpes-Côte d'Azur,
Algeria,Jijel,AFRICA
Spain,,EUROPE
Spain,Islas Baleares,
Madagascar,,
Thailand,Krabi,
Algeria,Tipaza,AFRICA
Algeria,Algiers,AFRICA
Bangladesh,Dhaka,ASIA
China,,ASIA
Bangladesh,,
Bangladesh,Chittagong,
India,Gujarat,ASIA
Chile,Coquimbo Region,SOUTH_AMERICA
Puerto Rico,Cabo Rojo,
Barbados,Saint James,NORTH_AMERICA
Brazil,Federal Dist.,SOUTH_AMERICA
Puerto Rico,Vega Baja,NORTH_AMERICA
Peru,Tumbes,SOUTH_AMERICA
Belize,Toledo,NORTH_AMERICA
Antigua and Barbuda,Saint Philip,NORTH_AMERICA
Barbados,Saint Peter,NORTH_AMERICA
Jamaica,Saint Catherine,NORTH_AMERICA
Antigua and Barbuda,Saint John,NORTH_AMERICA
Ireland,Donegal,
Ireland,Cork,
Ireland,Cork,EUROPE
United Kingdom of Great Britain and Northern Ireland,,EUROPE
Ireland,Mayo,EUROPE
United States of America,Maine,
Ireland,,EUROPE
Canada,Newfoundland and Labrador,NORTH_AMERICA
Iceland,Austurland,EUROPE
Canada,Québec,NORTH_AMERICA
France,Normandie,EUROPE
Ireland,Kerry,EUROPE
Ireland,Clare,
Croatia,Istarska,EUROPE
United States of America,New Hampshire,
Germany,,EUROPE
Germany,Schleswig-Holstein,EUROPE
Colombia,Mato Grosso,SOUTH_AMERICA
Suriname,Marowijne,SOUTH_AMERICA
Thailand,Samut Sakhon,ASIA
Greece,Macedonia and Thrace,EUROPE
Angola,Namibe,AFRICA
Morocco,,
Australia,Tasmania,
Indonesia,Jawa Tengah,ASIA
Greece,Epirus and Western Macedonia,EUROPE
,Northern Atlantic Ocean,
Aruba,,
Guadeloupe,Pointe-à-Pitre,
Bahamas,South Abaco,NORTH_AMERICA
Virgin Islands (U.S.),St. John,
Bahamas,South Andros,NORTH_AMERICA
Virgin Islands (U.S.),St. Croix,
Belize,Stann Creek,
Saint Barthélemy,,
Bermuda,Sandys,NORTH_AMERICA
Bermuda,Pembroke,NORTH_AMERICA
Guadeloupe,Guadeloupe,NORTH_AMERICA
Bahamas,Exuma District,NORTH_AMERICA
Barbados,Saint John,NORTH_AMERICA
Antigua and Barbuda,,NORTH_AMERICA
Bermuda,,NORTH_AMERICA
Virgin Islands (U.S.),,NORTH_AMERICA
Brazil,Alagoas,
Bolivia (Plurinational State of),Chuquisaca,SOUTH_AMERICA
Belgium,Vlaanderen,EUROPE
Puerto Rico,Trujillo Alto,NORTH_AMERICA
France,Île-de-France,EUROPE
India,Telangana,ASIA
North Macedonia,Gazi Baba,EUROPE
France,Occitanie,EUROPE
United States of America,Arizona,NORTH_AMERICA
Bermuda,Paget,
Colombia,San Andrés y Providencia,
Bahamas,Hope Town,
Sweden,Uppsala,EUROPE
Russian Federation,Komi,EUROPE
Colombia,Bogotá D.C.,SOUTH_AMERICA
Honduras,Santa Bárbara,NORTH_AMERICA
Mexico,Querétaro,NORTH_AMERICA
Mexico,Hidalgo,NORTH_AMERICA
Mexico,Distrito Federal,NORTH_AMERICA
Paraguay,Paraná,SOUTH_AMERICA
Brazil,Santa Fe,SOUTH_AMERICA
Nicaragua,Matagalpa,NORTH_AMERICA
Chile,Aysén,SOUTH_AMERICA
Sri Lanka,Galle,ASIA
Argentina,Rio Grande do Sul,SOUTH_AMERICA
Slovenia,,EUROPE
Dominica,Saint Joseph,
Bermuda,Southampton,
Portugal,Arquipélago dos Açores,EUROPE
Indonesia,,
Réunion,,AFRICA
Austria,Wien,EUROPE
Chile,Libertador General Bernardo O'Higgins,SOUTH_AMERICA
Chile,Región Metropolitana de Santiago,SOUTH_AMERICA
Chile,Ñuble,SOUTH_AMERICA
Brazil,Santa Cruz,SOUTH_AMERICA
Bolivia (Plurinational State of),Mato Grosso do Sul,SOUTH_AMERICA
Namibia,!Karas,AFRICA
Grenada,Saint George,
Bermuda,Saint George municipality,NORTH_AMERICA
Bermuda,Warwick,NORTH_AMERICA
Cabo Verde,Praia,AFRICA
Cabo Verde,Tarrafal de São Nicolau,AFRICA
Cabo Verde,Brava,AFRICA
Cabo Verde,São Vicente,AFRICA
Guinea-Bissau,Bahia,SOUTH_AMERICA
"Saint Helena, Ascension and Tristan da Cunha",Tristan da Cunha,AFRICA
"Saint Helena, Ascension and Tristan da Cunha",,
"Saint Helena, Ascension and Tristan da Cunha",,ANTARCTICA
"Saint Helena, Ascension and Tristan da Cunha",Tristan da Cunha,ANTARCTICA
El Salvador,La Unión,NORTH_AMERICA
Nicaragua,Rivas,NORTH_AMERICA
India,Tamil Nadu,
India,Andhra Pradesh,
India,Andaman and Nicobar,
Mexico,Oaxaca,
Myanmar,Rakhine,ASIA
Nicaragua,León,NORTH_AMERICA
Mexico,Sonora,
India,Puducherry,ASIA
Nicaragua,Chinandega,NORTH_AMERICA
India,Odisha,ASIA
Philippines,Palawan,ASIA
India,Goa,ASIA
Sri Lanka,Colombo,ASIA
Mexico,Michoacán,
Angola,Bengo,
Sri Lanka,Galle,
Sri Lanka,,
Bahamas,New Providence Id.,NORTH_AMERICA
Bahamas,Andros Islands,NORTH_AMERICA
Saint Barthélemy,,NORTH_AMERICA
Puerto Rico,San Germán,NORTH_AMERICA
Croatia,Primorsko-Goranska,EUROPE
Türkiye,,ASIA
Gibraltar,,EUROPE
Norway,Trøndelag,EUROPE
Norway,Agder,EUROPE
France,Languedoc-Roussillon,EUROPE
Netherlands,Zuid-Holland,EUROPE
Algeria,Skikda,
Türkiye,Çanakkale,ASIA
Algeria,Tizi Ouzou,AFRICA
Norway,Vest-Agder,EUROPE
Trinidad and Tobago,Sangre Grande,NORTH_AMERICA
Saudi Arabia,Al Bahah,ASIA
Côte d’Ivoire,Lacs,AFRICA
Côte d’Ivoire,Gôh-Djiboua,AFRICA
"Congo, Democratic Republic of the",Équateur,AFRICA
"Congo, Democratic Republic of the",Sud-Kivu,AFRICA
Jamaica,Manchester,NORTH_AMERICA
"Congo, Democratic Republic of the",Kongo-Central,AFRICA
Equatorial Guinea,Centro Sur,AFRICA
Bhutan,Punakha,ASIA
Puerto Rico,Sabana Grande,NORTH_AMERICA
Iceland,Suðurland,EUROPE
Martinique,,NORTH_AMERICA
Ghana,Bono East,AFRICA
Brazil,Espirito Santo,
Nigeria,Lagos,AFRICA
United States of America,Michigan,NORTH_AMERICA
Albania,Shkodër,EUROPE
Albania,,EUROPE
Greece,"Peloponnese, Western Greece and the Ionian Islands",EUROPE
Spain,Las Palmas,EUROPE
Ghana,Greater Accra,AFRICA
United States of America,South Carolina,
Brazil,Sc,
Gabon,,AFRICA
Ghana,,AFRICA
Papua New Guinea,Gulf,OCEANIA
Bangladesh,Khulna,ASIA
Paraguay,Formosa,SOUTH_AMERICA
Jamaica,Saint Andrew,NORTH_AMERICA
Dominican Republic,Santo Domingo,NORTH_AMERICA
Antigua and Barbuda,Barbuda,NORTH_AMERICA
Indonesia,Sulawesi Utara,
Fiji,Northern,
Japan,Niigata,ASIA
Saudi Arabia,Al Madinah,ASIA
Indonesia,Papua Barat,ASIA
Philippines,Batangas,ASIA
Seychelles,Takamaka,AFRICA
Cook Islands,,
Egypt,Janub Sina',ASIA
Philippines,Negros Oriental,ASIA
Puerto Rico,Rincón,
New Caledonia,Sud,
Oman,Al Batinah South,
Dominica,Saint David,NORTH_AMERICA
Indonesia,Papua Barat,
Philippines,Negros Oriental,
Panama,Veraguas,
Falkland Islands (Malvinas),Falkland Islands (Malvinas),
"Saint Helena, Ascension and Tristan da Cunha",Southern Atlantic Ocean,
"Saint Helena, Ascension and Tristan da Cunha",Southern Atlantic Ocean,AFRICA
Guyana,Demerara-Mahaica,SOUTH_AMERICA
Puerto Rico,Naguabo,NORTH_AMERICA
