nome_cientifico,nome_popular
Minagrion canaanense,
Crossodactylus boulengeri,
Trinomys moojeni,
Ophthalmolebias constanciae,Peixe-anual
Hypsolebias rufus,Peixe-anual
Attila spadiceus uropygiatus,
Corallus cropanii,Jibóia amarela
Parotocinclus spilurus,Cascudinho
Cavia intermedia,
Carcharhinus signatus,Tubarão-toninha
Bothrops insularis,Jararaca-ilhôa
Enneanectes smithi,
Trinomys eliasi,
Pristis pristis,
Castalia martensi,
Ancistrus formoso,cascudo-cego
Parides bunichus chamissonia,
Leila blainvilliana,
Glaucomastix cyanura,Calango
Bradypus torquatus,Preguiça-de-coleira do Nordeste
Ozotoceros bezoarticus bezoarticus,Veado
Lagothrix lagothricha cana,
Eretmochelys imbricata,
Diomedea dabbenena,
Parides panthonus castilhoi,
Sphyrna tiburo,
Saguinus bicolor,Sagui-bicolor
Celeus torquatus tinnunculus,
Proceratophrys palustris,
Aegla rosanae,
Ateles belzebuth,Coatá
Cichlopsis leucogenys,
Sporophila maximiliani,
